NCT Number,Study Title,Study URL,Acronym,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Sponsor,Collaborators,Sex,Age,Study Type,Start Date,Primary Completion Date,Locations
NCT04414150,A Trial of SHR-1802 in Patients With Failure of Standard Treatment for Advanced Malignant Tumours,https://clinicaltrials.gov/study/NCT04414150,,This is the first study to test SHR-1802 in humans. The primary purpose of this study is to see if SHR-1802 is safe and tolerable for patients with locally advanced/unresectable or metastatic malignancies that are refractory to available therapy or for which no standard therapy is available.,NO,Malignant Tumours,DRUG: SHR-1802,"Dose limiting toxicity, Days 1-21","Jiangsu HengRui Medicine Co., Ltd.",,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2020-06-17,2022-01-13,"Tianjin Medical University Cancer Institute and Hospital, Tianjin, Tianjin, 300060, China"
NCT04125524,Terahertz Metamaterials for Tumour Marker Concentration Identification,https://clinicaltrials.gov/study/NCT04125524,,"The research the investigators plan to undertake involves the use of a metamaterial at terahertz frequencies. Serum samples will be tested using the metamaterial to determine if this method can be used to measure the concentration of tumour markers present in the sample. Patients who have been tested for CEA, LDH, CA-125, CA 19-9, CA 15-3, total-hCG and AFP will be used for both the positive and negative samples.",NO,Malignant Tumour,DIAGNOSTIC_TEST: Terahertz metamaterials,"Evidence of detection for any marker, Any correlation showing a difference between samples with marker concentrations above and below the standard threshold values used for tests within the NHS., 18 months",Durham University,County Durham and Darlington NHS Foundation Trust,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2021-05-17,2022-10-01,"Department of Engineering Durham University, Durham, DH1 3LE, United Kingdom"
NCT06383871,A Phase I Clinical Study of HRS-7058 in Patients With Advanced Malignant Tumour,https://clinicaltrials.gov/study/NCT06383871,,"This study is a multicentre, open phase I clinical study of dose escalation, dose extension and efficacy extension of HRS-7058 in subjects with advanced malignant tumour. To evaluate the safety, tolerability, pharmacokinetics and efficacy of HRS-7058.",NO,Advanced Malignant Tumour,DRUG: HRS-7058 capsule/ HRS-7058 tablet,"Dose-limiting toxicity (DLT), From the beginning of first patient in (FPI) to the end of dose escalation phase up to approximately 10 months|maximum tolerated dose (MTD), From the beginning of first patient in (FPI) to the end of dose escalation phase up to approximately 10 months|Phase II recommended dose (RP2D), From the beginning of first patient in (FPI) to the end of dose escalation phase up to approximately 10 months|Safety endpoints: adverse events (AE), From the beginning of first patient in (FPI) to the end of study up to approximately 21 months]","Shandong Suncadia Medicine Co., Ltd.",,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2024-04,2026-06,
NCT03621124,Maladaptive Adipose Tissue Activity in Cancer,https://clinicaltrials.gov/study/NCT03621124,,"The purpose of this pilot research is to study brown adipose tissue, a type of fat that increases metabolism (burns energy) during exposure to cold, and how it may contribute to the weight loss observed in cancer.",NO,Cancer Nos,PROCEDURE: Resting Energy Expenditure|OTHER: Thermal Comfort Questionnaire,"Difference in resting energy expenditure between brown adipose tissue (BAT)-positive and BAT-negative patients with cancer., Characterization of the energy metabolism profiles of cancer patients with and without evidence of BAT activation will be assessed utilizing one sided t-test., 27 Months",Virginia Commonwealth University,National Cancer Institute (NCI),ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2018-08-16,2020-05-20,"Virginia Commonwealth University/ Massey Cancer Center, Richmond, Virginia, 23298-0070, United States"
NCT01750580,Safety Study of BMS-986015 (Anti-KIR) in Combination With Ipilimumab in Subjects With Selected Advanced Tumor,https://clinicaltrials.gov/study/NCT01750580,,"To assess the safety and tolerability, characterize the dose-limiting toxicities (DLTs), and identify the maximally tolerated dose (MTD) of BMS-986015 given in combination with ipilimumab in subjects with select advanced (metastatic and/or unresectable) solid tumors.",NO,"CANCER, NOS",DRUG: Lirilumab|DRUG: Ipilimumab,"Safety as measured by the rate of adverse events, and serious adverse events, Approximately 510 days",Bristol-Myers Squibb,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2012-12,2015-04,"H. Lee Moffitt Cancer Center & Research Institute, Tampa, Florida, 33612, United States|Dana Farber Cancer Institute, Boston, Massachusetts, 02215, United States|University Of Minnesota, Minneapolis, Minnesota, 55455, United States|Memorial Sloan Kettering Cancer Ctr, New York, New York, 10065, United States|The Ohio State University, Columbus, Ohio, 43210, United States|Sarah Cannon Research Institute, Nashville, Tennessee, 37203, United States"
NCT01714739,A Study of an Anti-KIR Antibody Lirilumab in Combination With an Anti-PD1 Antibody Nivolumab and Nivolumab Plus an Anti-CTLA-4 Ipilimumab Antibody in Patients With Advanced Solid Tumors,https://clinicaltrials.gov/study/NCT01714739,,"To assess the safety and tolerability and preliminary anti-tumor activity of lirilumab (BMS-986015) given in combination with nivolumab (BMS-936558) and to identify dose limiting toxicities (DLTs) and the maximally tolerated dose (MTD) of the combination. In addition, to assess the combinations of lirilumab and nivolumab or lirilumab and nivolumab plus ipilimumab (BMS-734016) in subjects with advanced (metastatic and/or unresectable) refractory solid tumors.",YES,"CANCER,NOS",DRUG: Lirilumab|DRUG: Nivolumab|DRUG: Ipilimumab,"Number of Participants With Adverse Events (AEs) - Parts 1, 2 and 5, An Adverse Event (AE) is defined as any new untoward medical occurrence or worsening of a pre-existing medical condition in a clinical investigation participant administered an investigational (medicinal) product and that does not necessarily have a causal relationship with this treatment., From first dose to 150 days post last dose (up to an average of 51 weeks and a maximum of 2.5 years)|Number of Participants With Serious Adverse Events (SAEs) - Parts 1, 2 and 5, A Serious Adverse Event (SAE) is any untoward medical occurrence that at any dose: results in death, is life-threatening, requires inpatient hospitalization or causes prolongation of existing hospitalization, results in persistent or significant disability/incapacity, is a congenital anomaly/birth defect, or is an important medical event., From first dose to 150 days post last dose (up to an average of 51 weeks and a maximum of 2.5 years)|Number of Participants With Adverse Events (AEs) Leading to Discontinuation - Parts 1, 2 and 5, Number of participants that experienced an AE leading to discontinuation. An AE is defined as any new untoward medical occurrence or worsening of a pre-existing medical condition in a clinical investigation participant administered an investigational (medicinal) product and that does not necessarily have a causal relationship with this treatment., From first dose to 150 days post last dose (up to an average of 51 weeks and a maximum of 2.5 years)|The Number of Participant Deaths in the Study - Parts 1, 2 and 5, The number of participants who died., From first dose to 150 days post last dose (up to an average of 51 weeks and a maximum of 2.5 years)|Number of Participants With Clinical Laboratory Test Abnormalities - Parts 1, 2 and 5, Number of participants that experienced a clinical laboratory test abnormality, including hematology and serum chemistry, and thyroid panel abnormalities. Abnormalities considered are those Grade 3-4 events with a \>= 1 grade increase from baseline. Laboratory tests are graded using National Cancer Institute (NCI) Common Terminology Criteria for Adverse Events (CTCAE) version 4.03 where Grade 3 is severe, and Grade 4 is life threatening. Baseline is defined as the last non-missing measurement prior to the first dosing date and time., From first dose to 150 days post last dose (up to an average of 51 weeks and a maximum of 2.5 years)|Objective Response Rate (ORR), Objective Response Rate (ORR) is defined as the percent of participants whose best overall response (BOR) is either a complete response (CR) or partial response (PR). BOR for a participant was derived using investigator-provided tumor measurements per RECIST v1.1. CR is defined as the disappearance of all target lesions. Any pathological lymph nodes (whether target or non-target) must have reduction in short axis to \< 10 mm. PR is defined as at least a 30% decrease in the sum of diameters of target lesions, taking as reference the baseline sum diameters., From first dose up to approximately 2.5 years",Bristol-Myers Squibb,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2012-10-07,2019-12-13,"Ucsf, San Francisco, California, 94115, United States|Florida Cancer Affiliates - Ocala, Ocala, Florida, 34471, United States|University Of Chicago Medical Center, Chicago, Illinois, 60637, United States|Sidney Kimmel Comprehensive Cancer Center At Johns Hopkins, Lutherville, Maryland, 21093, United States|Beth Israel Deaconess Med Ctr, Boston, Massachusetts, 02215, United States|Dana Farber Cancer Institute, Boston, Massachusetts, 02215, United States|Massachusetts General Hospital, Boston, Massachusetts, 02215, United States|Memorial Sloan Kettering Cancer Center, New York, New York, 10065, United States|The Ohio State University Wexner Medical Center, Columbus, Ohio, 43210, United States|Providence Portland Med Ctr, Portland, Oregon, 97213, United States|Thomas Jefferson University Hospital, Philadelphia, Pennsylvania, 19107, United States|UPMC Eye and Ear Institute, Pittsburgh, Pennsylvania, 15213, United States|West Cancer Center, Germantown, Tennessee, 38138, United States|Texas Oncology-Central Austin Cancer Center, Austin, Texas, 78731, United States|University Of Texas Medical Branch Of Galveston, Galveston, Texas, 77555, United States|University Of Washington, Seattle, Washington, 98195, United States|Juravinski Cancer Center, Hamilton, Ontario, L8V 5C2, Canada|Princess Margaret Cancer Centre, Toronto, Ontario, M5G 2M9, Canada|Local Institution, Bordeaux, 33075, France|Local Institution, Lyon Cedex 08, 69373, France|Local Institution, Nice Cedex 2, 06189, France|Local Institution, Paris, 75005, France|Institut Gustave Roussy, Villejuif Cedex, 94805, France|IRCCS Istituto Nazionale Tumori Milano, Milano, MI, 20133, Italy|Local Institution, Siena, 53100, Italy|Local Institution, Barcelona, 08035, Spain|Local Institution - 0038, Madrid, 28034, Spain|Local Institution, Madrid, 28050, Spain|Kantonsspital Graubuenden, Chur, 7000, Switzerland|Centre Hospitalier Universitaire Vaudois, Lausanne, 1011, Switzerland"
NCT03052868,Analysis of Neurocognitive Elements of Attention After Chemotherapy,https://clinicaltrials.gov/study/NCT03052868,,"Data for this study will be obtained from the University of Texas Southwestern Medical Center Simmons Comprehensive Cancer Center. Participants will be recruited through Simmons Cancer Center. One hundred female breast cancer patients who have completed adjuvant chemotherapy will be enrolled. In order to reach this number, it is estimated that up to 125 eligible participants will need to be recruited. The study will last approximately two years. Participants will undergo one cognitive testing session, and each subject's total participation time will last no more than two hours.",NO,Cancer Nos,OTHER: Cognitive Assessment,"Knowledge of cognitive outcomes of cancer treatment in breast cancer, battery of neuropsychological tests is approximately 45-60 minutes. Participants will also be asked to complete a packet of several questionnaires including several self-rated measures of mood and quality of life, in addition to a brief questionnaire to obtain information about exercise, sleep, and education and employment backgrounds, 1 day",University of Texas Southwestern Medical Center,,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL,2011-07,2014-05,
NCT06825429,Group Exercise in Cancer Patients Under Active Treatment: Feasibility Pilot Study.,https://clinicaltrials.gov/study/NCT06825429,,"The aim of this study to investigate the feasibility in hospital reality, of a group exercise program for oncology patients under active treatment and evaluate its impact on some outcomes considered relevant from both clinical and subjective point of view.",NO,Neoplastic Disease,PROCEDURE: exercise programme for group with ECOG 0-1|PROCEDURE: exercise programme for ECOG 2 group,"adherence to the group exercise programme, overall adherence to the group exercise programme \> 40%, through study completion, an average of 2 years|Frequency, The frequency of at least 70% of the exercise sessions foreseen by the programme., through study completion, an average of 2 years",IRCCS Azienda Ospedaliero-Universitaria di Bologna,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-03,2025-07,
NCT03135769,Avelumab in Chemo-resistant Gestational Trophoblastic Neoplasias,https://clinicaltrials.gov/study/NCT03135769,TROPHIMMUN,"Gestational trophoblastic neoplasias (GTN) are characterized by the persistence of elevated hCG titers after complete uterine evacuation of a partial hydatidiform mole (PHM) or a complete hydatidiform mole. GTN patients are commonly treated with single agent treatment (methotrexate or actinomycine-D) or polychemotherapy (first line treatment EMA-CO) according to the predicted risk of resistance to single agent treatment by FIGO score. GTN patients with resistance to these treatments are treated with another single agent drug or polychemotherapy regimens.

Chemotherapy standard regimens are old and toxic for these young lady patients, with potential long term effects detrimental for further maternity and quality of life. There is a need for modern targeted agents with better benefit/toxicity profiles.

There is a strong rational for investigating the anti-PDL1 monoclonal antibody avelumab in chemoresistant GTN patients. Several elements suggest that the normal pregnancy immune tolerance is ""hijacked"" by GTN cell for proliferating :

* Spontaneous regressions of metastasic GTN are regularly observed, thereby the role of immune system for rejecting GTN cells.
* Strong and constant overexpression of PDL1 and NK cells has been found in all subtypes and settings of GTN tumors from French reference gestational trophoblastic center.
* The case of complete and durable response to pembrolizumab was reported in a patient with multi chemo-resistant GTN.",NO,Gestational Trophoblastic Neoplasias (GTN),DRUG: Avelumab administration at 10mg/kg,"The rate of patients with successful normalization of hCG assays, Clinical efficacy of avelumab administration will be evaluated by the rate of patients with successful normalization of hCG assays allowing for treatment discontinuation (hCG normalization). Patients will continue on treatment until the hCG assays, measured weekly, reach the institutional normal threshold and then for 3 additional cycles., up to 6 months",Hospices Civils de Lyon,,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL,2017-02-21,2020-12-02,"Institut Bergonie, Bordeaux, 33000, France|Centre Francois Baclesse, Caen, 14000, France|Institut Paoli-Calmettes, Marseille, 13000, France|Aphp Hopital Tenon, Paris, 75020, France|Hospices Civils de Lyon - CHLS, Pierre Bénite, 69495, France|Institut Universitaire Du Cancer de Toulouse - Oncopole, Toulouse, 31000, France"
NCT04396223,Avelumab and Methotrexate in in Low-risk Gestational Trophoblastic Neoplasias as First Line Treatment,https://clinicaltrials.gov/study/NCT04396223,TROPHAMET,"Gestational trophoblastic neoplasias (GTN) are characterized by the persistence of elevated hCG titers after complete uterine evacuation of a partial hydatidiform mole (PHM) or a complete hydatidiform mole.

Low-risk GTN patients (FIGO score ≤ 6) are commonly treated with single agent treatment (methotrexate or actinomycin-D) The cure rate, assessed by hCG normalization, is obtained in 65 to 75% of patients with these agents GTN patients with resistance to these treatments are treated with another single agent drug or polychemotherapy regimens, such as EMA-CO or BEP regimen.

Chemotherapy standard regimens are old and toxic for these young lady patients, with potential long term effects detrimental for further maternity and quality of life

There is a strong rational for investigating the anti-PDL1 monoclonal antibody avelumab in chemoresistant GTN patients. Several elements suggest that the normal pregnancy immune tolerance is ""hijacked"" by GTN cell for proliferating :

* Spontaneous regressions of metastastic GTN are regularly observed, thereby the role of immune system for rejecting GTN cells.
* Strong and constant overexpression of PDL1 and NK cells has been found in all subtypes and settings of GTN tumors from French reference gestational trophoblastic center.
* Complete and durable responses to pembrolizumab were reported in 3 patients with multi-chemoresistant GTN in United Kingdom.
* Three cases of hCG normalization with avelumab in 6 patients with chemo-resistant GTN enrolled in TROPHIMMUN cohort A (resistant to a mono-chemotherapy).
* Cytotoxicity of avelumab is mediated through antibody dependent cell cytotoxicity (ADCC) by NK cells.",NO,Gestational Trophoblastic Neoplasias (GTN),DRUG: Avelumab Injection|DRUG: Methotrexate 1 GM Injection,"Incidence of Dose limiting toxicities of methotrexate and avelumab combination in low-risk GTN patients as first line., Safety run-in: dose-limiting toxicities (DLT) will be determined during the first 3 months after the start of treatment, treatment duration 3 months (median estimation)|Rate of patients with successful normalization of hCG, The main endpoint of this study is the rate of patients with successful normalization of hCG allowing for treatment discontinuation (hCG normalization). Patients will continue on treatment until the weekly hCG assays reach the institutional normal threshold, and then for 3 additional cycles, or otherwise will be stopped in the case of resistance, defined as a rise (a \> 20% rise between two assays, observed twice on three consecutive weekly assays) or a plateau (a \< 10% decrease between two assays observed three times on four consecutive weekly assays) in the hCG level, or unacceptable toxicity and/or death., treatment duration 3 months (median estimation)",Hospices Civils de Lyon,"Merck Healthcare KGaA, Darmstadt, Germany, an affiliate of Merck KGaA, Darmstadt, Germany",FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL,2020-02-12,2025-04-12,"Centre Hospitalier Lyon Sud, Pierre-Bénite, Pierre Bénite, 69495, France|Institut Bergonié, Bordeaux, 33000, France|Centre François Baclesse, Caen, 14000, France|Centre Oscar Lambret, Lille, 59000, France|Institut Paoli-Calmettes, Marseille, 13000, France|Centre Antoine Lacassagne, Nice, 06000, France|Assistance Publique Hôpitaux de Paris, Paris, France|Centre Eugène Marquis, Rennes, 35000, France|Institut Universitaire du Cancer de Toulouse - Oncopole, Toulouse, 31000, France"
